transaction_id,user_id,transaction_date,amount,group
1,2114,2024-10-19,9052,B
2,6117,2024-08-24,2120,A
3,1614,2024-09-10,1066,A
4,9900,2024-11-05,3945,A
5,3415,2024-10-16,7030,B
6,8391,2024-09-17,6899,B
7,7540,2024-09-16,7870,B
8,4681,2024-08-24,6518,B
9,9410,2024-10-15,5964,A
10,470,2024-10-22,9910,A
11,975,2024-10-28,1140,A
12,7498,2024-11-09,4986,A
13,3484,2024-08-24,2482,A
14,14,2024-10-10,4554,B
15,1528,2024-09-23,2207,B
16,2523,2024-11-15,5868,A
17,6946,2024-10-01,4506,A
18,7617,2024-09-21,1396,A
19,4298,2024-09-20,2905,B
20,5452,2024-11-15,7589,A
21,5265,2024-09-21,4328,B
22,4138,2024-09-02,7122,A
23,5832,2024-09-18,2407,B
24,7631,2024-10-13,4716,A
25,895,2024-08-31,6148,B
26,2192,2024-09-22,4573,A
27,4156,2024-10-11,3386,B
28,1144,2024-11-13,7371,B
29,524,2024-09-27,9501,B
30,4925,2024-10-27,7726,B
31,3681,2024-10-09,3271,A
32,1673,2024-09-08,2157,A
33,3057,2024-09-09,5680,A
34,9427,2024-08-24,3968,A
35,5352,2024-08-23,8501,A
36,4898,2024-10-25,8957,B
37,3193,2024-11-07,4725,B
38,4309,2024-09-15,9527,B
39,5935,2024-09-27,7620,B
40,3082,2024-11-15,7465,A
41,7642,2024-11-01,8764,B
42,7893,2024-08-26,5252,B
43,8668,2024-09-12,1817,A
44,2332,2024-11-16,810,B
45,3407,2024-09-18,4929,B
46,9304,2024-10-05,2483,A
47,572,2024-09-19,1055,A
48,98,2024-09-02,6861,A
49,752,2024-11-04,8278,A
50,5610,2024-10-11,1262,A
51,3669,2024-11-11,1536,B
52,1238,2024-11-12,9858,A
53,6973,2024-09-01,8728,A
54,8328,2024-08-21,9060,B
55,904,2024-08-28,2567,B
56,6437,2024-10-17,1937,B
57,4767,2024-09-03,647,B
58,3534,2024-10-08,3338,B
59,1737,2024-08-27,1542,B
60,9484,2024-11-13,5214,A
61,4335,2024-10-08,5135,A
62,4376,2024-08-30,5817,B
63,6232,2024-08-28,7221,A
64,7415,2024-11-10,9618,A
65,5806,2024-10-18,9122,A
66,971,2024-08-30,7954,B
67,6209,2024-09-28,4734,B
68,658,2024-11-12,5808,B
69,1790,2024-09-08,2796,B
70,1851,2024-08-29,2781,A
71,537,2024-10-07,5813,B
72,2612,2024-09-11,5683,A
73,6673,2024-09-09,8721,A
74,8344,2024-09-25,9859,B
75,408,2024-09-14,9886,A
76,5331,2024-09-11,2478,A
77,8257,2024-09-11,2806,B
78,6533,2024-10-17,7125,A
79,7166,2024-09-22,9795,A
80,3786,2024-11-07,5674,B
81,9975,2024-08-23,2511,A
82,6932,2024-10-15,7449,B
83,7455,2024-09-15,4128,A
84,4943,2024-10-18,8715,A
85,6039,2024-10-20,9702,A
86,1129,2024-10-04,1922,A
87,7213,2024-10-03,9381,B
88,1948,2024-09-24,7810,A
89,4266,2024-10-10,5691,A
90,2022,2024-08-21,863,A
91,2312,2024-09-21,8386,A
92,6563,2024-10-12,743,A
93,8414,2024-09-16,7969,B
94,854,2024-09-07,1430,B
95,2757,2024-10-22,2732,B
96,1920,2024-10-26,3849,A
97,333,2024-08-22,7260,B
98,2643,2024-11-16,724,A
99,109,2024-08-21,3579,B
100,5283,2024-09-22,3448,B
101,8246,2024-08-26,991,B
102,6435,2024-08-28,6052,B
103,7100,2024-09-24,3484,B
104,2458,2024-09-02,6298,B
105,9541,2024-10-29,3236,B
106,7820,2024-08-28,5958,B
107,6885,2024-09-14,6785,B
108,7498,2024-10-24,1284,B
109,9499,2024-10-10,8464,A
