user_id,region,registration_date
1,Новосибирск,2024-11-15
2,Екатеринбург,2024-04-15
3,Москва,2024-06-12
4,Москва,2024-07-20
5,Екатеринбург,2023-07-11
6,Екатеринбург,2022-12-28
7,Санкт-Петербург,2023-04-12
8,Екатеринбург,2024-07-02
9,Санкт-Петербург,2024-01-21
10,Москва,2023-09-20
11,Казань,2023-01-24
12,Санкт-Петербург,2024-05-03
13,Казань,2024-08-22
14,Москва,2023-12-18
15,Новосибирск,2023-04-27
16,Москва,2023-07-29
17,Новосибирск,2024-09-07
18,Новосибирск,2023-01-05
19,Новосибирск,2023-03-30
20,Новосибирск,2024-01-16
21,Санкт-Петербург,2024-03-09
22,Екатеринбург,2024-02-27
23,Екатеринбург,2023-10-19
24,Санкт-Петербург,2024-10-20
25,Санкт-Петербург,2024-04-17
26,Москва,2023-11-24
27,Москва,2023-03-09
28,Санкт-Петербург,2023-10-23
29,Казань,2023-09-28
30,Москва,2023-08-26
31,Екатеринбург,2024-05-28
32,Казань,2024-02-14
33,Москва,2024-04-14
34,Казань,2023-01-30
35,Москва,2024-08-16
36,Новосибирск,2023-08-18
37,Казань,2023-12-31
38,Казань,2024-08-05
39,Москва,2023-06-30
40,Екатеринбург,2024-01-10
41,Москва,2024-10-07
42,Санкт-Петербург,2023-08-24
43,Москва,2024-04-04
44,Санкт-Петербург,2023-01-29
45,Москва,2023-10-01
46,Екатеринбург,2022-12-10
47,Казань,2023-05-28
48,Санкт-Петербург,2023-08-30
49,Казань,2023-12-19
50,Санкт-Петербург,2024-09-17
51,Санкт-Петербург,2023-02-21
52,Санкт-Петербург,2024-07-04
53,Казань,2022-12-14
54,Москва,2023-10-05
55,Санкт-Петербург,2024-01-23
56,Санкт-Петербург,2023-04-24
57,Казань,2024-05-19
58,Санкт-Петербург,2024-09-01
59,Санкт-Петербург,2023-09-11
60,Москва,2024-07-14
61,Новосибирск,2024-01-14
62,Новосибирск,2024-02-14
63,Санкт-Петербург,2023-06-06
64,Новосибирск,2024-06-08
65,Москва,2023-07-23
66,Санкт-Петербург,2023-04-27
67,Санкт-Петербург,2023-04-16
68,Екатеринбург,2023-04-14
69,Новосибирск,2022-12-03
